family_id,brand_id,category_id,family_name,series_name,status,first_seen_evidence,source_ids,notes
philips-air-pureprotect-mini-900,philips,philips-air-climate,PureProtect Mini 900,,CURRENT,,src-73f7b32c78d2,
philips-air-1000i,philips,philips-air-climate,1000i series,,LEGACY,,src-73f7b32c78d2,
philips-air-2000,philips,philips-air-climate,2000/2000i series,,LEGACY,,src-73f7b32c78d2,
philips-air-pureprotect-quiet-2200,philips,philips-air-climate,PureProtect Quiet 2200,,CURRENT,,src-73f7b32c78d2,
philips-air-3000,philips,philips-air-climate,3000/3000i series,,LEGACY,,src-73f7b32c78d2,
philips-air-pureprotect-3200,philips,philips-air-climate,PureProtect 3200,,CURRENT,,src-73f7b32c78d2,
philips-air-pureprotect-water-3400,philips,philips-air-climate,PureProtect Water 3400,,CURRENT,,src-73f7b32c78d2,
philips-air-pureprotect-pro-4200,philips,philips-air-climate,PureProtect Pro 4200,,UNKNOWN,,src-73f7b32c78d2,
philips-air-performer-7000,philips,philips-air-climate,Air Performer 7000,,CURRENT,,src-73f7b32c78d2,
philips-air-performer-8000,philips,philips-air-climate,Air Performer 8000,,CURRENT,,src-73f7b32c78d2,
philips-air-2000-3in1,philips,philips-air-climate,2000 Series 3-in-1 (AMF220),,LEGACY,,src-73f7b32c78d2,
philips-air-5000i,philips,philips-air-climate,"Series 5000i (discovered, not in seed)",,LEGACY,,src-73f7b32c78d2,
philips-cf-baristina,philips,philips-coffee,Baristina,,CURRENT,,src-9c34250cbd2f,
philips-cf-barista-brew,philips,philips-coffee,Barista Brew,,CURRENT,,src-272587afd087,
philips-cf-series-3300,philips,philips-coffee,Series 3300 (LatteGo),,CURRENT,,src-a28d98669ed9,
philips-cf-cafe-aromis-8000,philips,philips-coffee,Cafe Aromis Series 8000 (LatteGo Pro),,CURRENT,,src-cb4997ea6277,
saeco-cf-xelsis-suprema,saeco,saeco-coffee,Xelsis Suprema,,CURRENT,,src-6dccc892209d,
saeco-cf-xelsis-deluxe,saeco,saeco-coffee,Xelsis Deluxe,,CURRENT,,src-25fe3f765665,
saeco-cf-granaroma,saeco,saeco-coffee,GranAroma / GranAroma Deluxe,,CURRENT,,src-08e312e7fd77,
gaggia-cf-classic,gaggia,gaggia-coffee,Classic (New Classic / Classic UP),,CURRENT,,src-e3c4ed0a0732,
senseo-cf-original,senseo,senseo-coffee,Senseo Original/Select/Switch/Maestro (NL),,CURRENT,,src-cc15b0eeed35,
lor-barista-cf-family,lor-barista,lor-barista-coffee,L'OR Barista (capsule),,CURRENT,,src-f8631c28b2ba,
philips-hs-5000series,philips,philips-home-safety,5000 Series (cameras/doorbell),,CURRENT,,src-c80642145334,
philips-pet-series,philips,philips-pet-care,"Pet Series (5000 feeder, 3000 fountain)",,CURRENT,,src-3929556fc8cb,
philips-gardencare-3000,philips,philips-garden-care,GardenCare 3000 Series (robot mower),,CURRENT,,src-a1978fb897fd,
walita-af-1000,philips-walita,walita-kitchen,"Airfryer Serie 1000 (incl XL, Duplo Cesto)",,CURRENT,,src-22042634b8cb,
walita-af-3000,philips-walita,walita-kitchen,"Airfryer Serie 3000 (XL, Essential XL)",,CURRENT,,src-22042634b8cb,
walita-af-5000,philips-walita,walita-kitchen,Airfryer Forno Serie 5000,,CURRENT,,src-22042634b8cb,
walita-cf-4400,philips-walita,walita-kitchen,Cafeteira Superautomatica LatteGo Serie 4400,,CURRENT,,src-cf9880ee9b41,
walita-cf-5400,philips-walita,walita-kitchen,Cafeteira Superautomatica LatteGo Elite Serie 5400/5500,,CURRENT,,src-7c4f62d129eb,
walita-fp-powerchop-1000,philips-walita,walita-kitchen,Multiprocessador PowerChop 1000,,CURRENT,,src-bde2003cdb70,
walita-gc-perfectcare-6000,philips-walita,walita-garment,PerfectCare Serie 6000 (incl 6000 Plus),,CURRENT,,src-a39f6166ac91,
walita-gc-serie-5000-iron,philips-walita,walita-garment,Ferro Serie 5000,,CURRENT,,src-a39f6166ac91,
walita-vac-2000,philips-walita,walita-vacuums,Aspirador Vertical Serie 2000,,CURRENT,,src-801edb0a3941,
walita-vac-3000-acqua,philips-walita,walita-vacuums,Aspirador Vertical Serie 3000 Acqua (PowerCyclone 8),,CURRENT,,src-801edb0a3941,
walita-fan-1000-1500,philips-walita,walita-climate,Ventilador Serie 1000 / Serie 1500,,CURRENT,,src-65493fb93d1f,
walita-hum-1000,philips-walita,walita-climate,Umidificador Serie 1000 Ultrassonico Conectado (Air+ app),,CURRENT,,src-65493fb93d1f,
philips-af-1000,philips,philips-airfryer,1000 Series (incl FlexDrawer Dual Basket),,CURRENT,,src-d2f170e3f433,
philips-af-2000,philips,philips-airfryer,2000 Series,,CURRENT,,src-f48906b77102,
philips-af-3000,philips,philips-airfryer,3000 Series (incl Dual Basket),,CURRENT,,src-166b6f7e62a7,
philips-af-4000,philips,philips-airfryer,4000 Series Stacked Dual Basket,,CURRENT,,src-10271b43b25b,
philips-af-5000,philips,philips-airfryer,5000 Series Dual Basket (w/ Steam),,CURRENT,,src-d803554e7073,
philips-af-7000,philips,philips-airfryer,"7000 Series Airfryer Combi (XXL/XXXL, connected)",,CURRENT,,src-64457916d529,
philips-ck-multicooker-avance,philips,philips-cooking,Multicooker - Avance Collection,,CURRENT,,src-7b3bcc413717,
philips-ck-grill-avance,philips,philips-cooking,Indoor Grill - Avance Collection,,CURRENT,,src-d78f655cbec4,
philips-bl-series-5000,philips,philips-blending,Series 5000 Blender,,CURRENT,,src-9b8a38fd4675,
philips-jc-viva,philips,philips-juicing,Viva Collection (centrifugal),,CURRENT,,src-4433cf2b9a84,
philips-jc-avance-masticating,philips,philips-juicing,Avance Collection Masticating Juicer,,CURRENT,,src-c8f362fb95b1,
philips-bf-toaster-daily,philips,philips-breakfast,Toaster - Daily Collection,,CURRENT,,src-dcb373596449,
philips-bf-kettle-eco5000,philips,philips-breakfast,Kettle - Eco Conscious Edition 5000 Series,,CURRENT,,src-3e23dbede5f4,
philips-bf-sandwich-maker,philips,philips-breakfast,Sandwich Maker,,CURRENT,,src-8518e34a6689,
philips-fc-homerun,philips,philips-floor-care,"HomeRun (robot vacuum+mop, 3000/6000/7000/9000 Series)",,CURRENT,,src-155e5f1784c5,
philips-fc-aquatrio,philips,philips-floor-care,"AquaTrio (cordless wet&dry stick, 7000/9000 Series)",,CURRENT,,src-2a95957d20e0,
philips-fc-speedpro,philips,philips-floor-care,SpeedPro / SpeedPro Max Aqua (cordless stick),,CURRENT,,src-68f8844f0b23,
philips-fc-powerpro,philips,philips-floor-care,PowerPro (corded bagless canister),,CURRENT,,src-216485c3db3b,
philips-fc-performer,philips,philips-floor-care,Performer (corded bagged canister),,CURRENT,,src-c08071518b00,
philips-fc-oneup,philips,philips-floor-care,"OneUp (electric mop, 3000/5000 Series)",,CURRENT,,src-e5124997f153,
philips-gc-oneturn,philips,philips-garment-care,OneTurn (hybrid rotating-head iron/steamer),,CURRENT,,src-0ab0fc980c3d,
philips-gc-perfectcare,philips,philips-garment-care,"PerfectCare (Elite, Elite Plus, Aqua, Pure, Compact)",,CURRENT,,src-36ebda3b8cc1,
philips-gc-all-in-one,philips,philips-garment-care,All-in-One (6000/8000/8500 Series),,CURRENT,,src-d906bbdadc0a,
philips-gc-steamgo,philips,philips-garment-care,Steam&Go (handheld garment steamers),,CURRENT,,src-2f42fc6e4054,
