competitor_product_id,country,price_type,value,currency,observed_at,source_id
dyson-v15-detect-absolute,Netherlands,OFFICIAL_PRICE,799.00,EUR,2026-08-27,src-d54e88f5960e
shark-powerdetect-speed-ia3241eut,Netherlands,OFFICIAL_PRICE,429.99,EUR,2026-08-27,src-e1d0c2858132
roborock-dyad-pro-combo,United States,PROMOTIONAL,249.99,USD,2026-08-27,src-cf0e0969e303
tineco-floor-one-s9-artist,Germany,PROMOTIONAL,429.00,EUR,2026-08-27,src-c6d094d46de5
miele-triflex-hx2-catdog,Netherlands,OFFICIAL_PRICE,699.00,EUR,2026-08-27,src-c6173f67599e
bosch-unlimited7-prohygienic,Netherlands,OFFICIAL_PRICE,499.00,EUR,2026-08-27,src-53bfdbca981c
electrolux-ergorapido-erg25n,Brazil,PROMOTIONAL,799.90,BRL,2026-08-27,src-4a3bd5e9b40e
ring-doorbell-plus-2ndgen,EU,OFFICIAL_PRICE,119.99,EUR,2026-08-27,src-c1db2b75cb74
eufy-doorbell-e340,United States,OFFICIAL_PRICE,149.99,USD,2026-08-27,src-bb50e9b26f16
eufy-indoor-cam-c220,EU,OFFICIAL_PRICE,39.00,EUR,2026-08-27,src-ea7137f4476d
ezviz-db1c,United States,OFFICIAL_PRICE,49.99,USD,2026-08-27,src-601acb2b537e
surefeed-microchip-connect,United Kingdom,OFFICIAL_PRICE,155.00,GBP,2026-08-27,src-7b142201fdb4
petlibro-granary-smart-camera,United Kingdom,OFFICIAL_PRICE,149.99,GBP,2026-08-27,src-bc0adbc54262
surepetcare-felaqua-connect,United Kingdom,OFFICIAL_PRICE,73.50,GBP,2026-08-27,src-cf374721b4d5
catit-pixi-fountain,United Kingdom,OFFICIAL_PRICE,40.00,GBP,2026-08-27,src-32c26136ecbd
ecovacs-goat-a3000,Netherlands,OFFICIAL_PRICE,2299.00,EUR,2026-08-27,src-aea595e29612
worx-landroid-m,United States,OFFICIAL_PRICE,599.99,USD,2026-08-27,src-8c71bcc6226b
arno-airfryer-afm7,Brazil,OFFICIAL_PRICE,529.99,BRL,2026-08-27,src-e9be02721801
mondial-airfryer-afn40bf,Brazil,OFFICIAL_PRICE,483.21,BRL,2026-08-27,src-35b429d138a7
britania-airfryer-baf52,Brazil,OFFICIAL_PRICE,609.90,BRL,2026-08-27,src-c95f282112ed
electrolux-blender-ebs30,Brazil,OFFICIAL_PRICE,309.90,BRL,2026-08-27,src-5882f5ed49ea
britania-humidifier-bud05b,Brazil,OFFICIAL_PRICE,149.90,BRL,2026-08-27,src-bd1a1fec02df
cadence-fan-vtr420,Brazil,OFFICIAL_PRICE,269.90,BRL,2026-08-27,src-dc24af0d5959
faber-hood-primus-plus-energy,India,OFFICIAL_PRICE,14550,INR,2026-08-27,src-0e0cada91bac
faber-hood-pluto,India,OFFICIAL_PRICE,6599,INR,2026-08-27,src-a20767b249dd
meyer-select-kadai-24cm,India,OFFICIAL_PRICE,3056,INR,2026-08-27,src-fe7454d5015a
vinod-platinum-triply-kadai,India,OFFICIAL_PRICE,2732,INR,2026-08-27,src-93b5da4f2335
sunflame-zenial-3b,India,OFFICIAL_PRICE,8990,INR,2026-08-27,src-e9b6a437d052
prestige-prithvi-1burner,India,OFFICIAL_PRICE,2140,INR,2026-08-27,src-d50dd465660e
prestige-bliss-induction-1200w,India,OFFICIAL_PRICE,2995,INR,2026-08-27,src-033e93dd4624
bajaj-icx200fp-induction,India,OFFICIAL_PRICE,7290,INR,2026-08-27,src-2c008e7fe0ea
hawkins-classic-5l,India,OFFICIAL_PRICE,2275,INR,2026-08-27,src-bc3f685922db
prestige-popular-plus-cooker,India,OFFICIAL_PRICE,2345,INR,2026-08-27,src-ea2baea5747e
sage-bambino-plus,Netherlands,OFFICIAL_PRICE,529.90,EUR,2026-08-27,src-5dbfe264e409
delonghi-dedica-style-ec685m,Netherlands,OFFICIAL_PRICE,229.90,EUR,2026-08-27,src-f09be61806cd
rancilio-silvia-e-v6,Germany,OFFICIAL_PRICE,649.00,EUR,2026-08-27,src-7e77716171a8
nespresso-vertuo-next-matt-black,Netherlands,OFFICIAL_PRICE,149.00,EUR,2026-08-27,src-3ff046c6b17a
dolce-gusto-genio-s-plus,Netherlands,OFFICIAL_PRICE,119.99,EUR,2026-08-27,src-18320a66884a
illy-y33-iperespresso,Netherlands,OFFICIAL_PRICE,105.00,EUR,2026-08-27,src-112ef553309d
russellhobbs-colours-plus-toaster,Netherlands,OFFICIAL_RRP,59.99,EUR,2026-08-27,src-052cf8a6d86f
smeg-toaster-tsf01rdeu,Netherlands,OFFICIAL_PRICE,179.00,EUR,2026-08-27,src-41402b08a4b0
bosch-toaster-tat2m121,Netherlands,OFFICIAL_PRICE,44.99,EUR,2026-08-27,src-325ff636a8bd
bosch-vitajuice3,Netherlands,OFFICIAL_PRICE,104.00,EUR,2026-08-27,src-127b58f923f3
bosch-vitaextract-slowjuicer,Netherlands,OFFICIAL_PRICE,184.00,EUR,2026-08-27,src-ae64542fabdf
smeg-citrus-juicer-cjf11rdeu,Netherlands,OFFICIAL_PRICE,179.00,EUR,2026-08-27,src-41402b08a4b0
hurom-h320n-slowjuicer,EU,OFFICIAL_PRICE,599.00,EUR,2026-08-27,src-8fac0f854c69
