product_id,brand_id,category_id,family_id,sku,model_name,regional_suffix,colour,voltage,region,current_status,status_evidence_id,launch_date,launch_date_confidence,official_url,support_url,manual_url,source_ids,missing_fields,confidence
preethi-ch-kh311,preethi,preethi-chimneys,preethi-ch-alcor,KH311,Preethi ALCOR Chimney 90cm,,Black,,India,CURRENT,src-preethi-p-alcor-kh311,,,https://www.shop.preethi.in/products/preethi-chimney-auto-clean-wall-mounted-alcor-with-aluminium-duct-black-1350-90-cm-motion-sensor-operation-lifelong-free-service-kh311,,,src-preethi-p-alcor-kh311,launch_date|suction_m3h,HIGH
preethi-ch-kh317,preethi,preethi-chimneys,preethi-ch-alcor,KH317,Preethi ALCOR Chimney 60cm (voice control),,Black,,India,CURRENT,src-preethi-p-alcor-kh317,,,https://www.shop.preethi.in/products/preethi-chimney-auto-clean-wall-mounted-alcor-with-aluminium-duct-black-1200-60-cm-voice-control-lifelong-free-service-kh317,,,src-preethi-p-alcor-kh317,launch_date|suction_m3h,HIGH
preethi-pc-pc024,preethi,preethi-pressure-cookers,preethi-pc-aluminium,PC024,Preethi Aluminium Pressure Cooker 5L,,,,India,CURRENT,src-preethi-p-pc024,,,https://www.shop.preethi.in/products/preethi-induction-base-outer-lid-aluminium-pressure-cooker-5-litres-spill-splash-shield-pc-024-8901225220247,,,src-preethi-p-pc024,launch_date,HIGH
preethi-cw-kadai26,preethi,preethi-cookware,preethi-cw-dura,UNVERIFIED-preethi-cw-kadai26,Preethi Dura Collection Non-Stick Kadai 26cm,,Chilly Red,,India,CURRENT,src-preethi-p-kadai26,,,https://www.shop.preethi.in/products/preethi-dura-collection-non-stick-kadai-26-cm-with-glass-lid-gas-induction-compatible-5-star-non-stick-effect-chilly-red-8901225360332,,,src-preethi-p-kadai26,sku_code|launch_date,MEDIUM
preethi-cw-csw037,preethi,preethi-cookware,preethi-cw-csw,CSW037,Preethi CSW Daily Fry Pan 24cm,,,,India,CURRENT,src-preethi-p-csw037,,,https://www.shop.preethi.in/products/preethi-csw-daily-ai-fryfan-nim-24-csw037,,,src-preethi-p-csw037,launch_date,HIGH
philips-air-ac0650-20,philips,philips-air-climate,philips-air-600,AC0650/20,600i series Air Purifier,,White/Silk Beige,,UK,CURRENT,src-45ecc10733b0,,,https://www.home-appliances.philips/gb/en/p/AC0650_20,,,src-45ecc10733b0,launch_date,HIGH
philips-air-ac0651-10,philips,philips-air-climate,philips-air-600,AC0651/10,600 series Air Purifier,,White/Light Grey,,UK,CURRENT,src-b75e99135918,,,https://www.home-appliances.philips/gb/en/p/AC0651_10,,,src-b75e99135918,launch_date,HIGH
philips-air-ac0850-41,philips,philips-air-climate,philips-air-800,AC0850/41,800i Series Compact Air Purifier,,,,US,LEGACY,src-5e58ec9a3e3b,,,https://www.usa.philips.com/c-p/AC0850_41/800i-series-compact-air-purifier,,,src-5e58ec9a3e3b,launch_date,HIGH
philips-air-ac0920-10,philips,philips-air-climate,philips-air-pureprotect-mini-900,AC0920/10,PureProtect Mini 900 Series Air Purifier (base),,Arctic White,,UK,CURRENT,src-cda4f175a7f7,,,https://www.home-appliances.philips/gb/en/p/AC0920_10,,,src-cda4f175a7f7,launch_date,HIGH
philips-air-ac0950-10,philips,philips-air-climate,philips-air-pureprotect-mini-900,AC0950/10,PureProtect Mini 900 Series Smart Air Purifier,,Arctic White,,UK,CURRENT,src-2da3761ea524,,,https://www.home-appliances.philips/gb/en/p/AC0950_10,,,src-2da3761ea524,launch_date,HIGH
philips-air-ac0951-13,philips,philips-air-climate,philips-air-pureprotect-mini-900,AC0951/13,PureProtect Mini 900 Series Smart Air Purifier,,Charcoal Grey,,UK,CURRENT,src-c4c366a776ba,,,https://www.home-appliances.philips/gb/en/p/AC0951_13,,,src-c4c366a776ba,launch_date,HIGH
philips-air-ac1715-41,philips,philips-air-climate,philips-air-1000i,AC1715/41,1000i Series Air Purifier for Medium Rooms,,,,US,LEGACY,src-e7d712619cb6,,,https://www.usa.philips.com/c-p/AC1715_41/1000i-series-air-purifier-for-medium-rooms,,,src-e7d712619cb6,launch_date,HIGH
philips-air-ac2889-40,philips,philips-air-climate,philips-air-2000,AC2889/40,2000i Series Air Purifier,,,,US,LEGACY,src-3aa5bb1646c5,,,https://www.usa.philips.com/c-p/AC2889_40/2000i-series,,,src-3aa5bb1646c5,launch_date,HIGH
philips-air-ac2220-10,philips,philips-air-climate,philips-air-pureprotect-quiet-2200,AC2220/10,PureProtect Quiet 2200 Series Smart Air Purifier,,Arctic White,,UK,CURRENT,src-08703bb70836,,,https://www.home-appliances.philips/gb/en/p/AC2220_10,,,src-08703bb70836,launch_date,HIGH
philips-air-ac3033-73,philips,philips-air-climate,philips-air-3000,AC3033/73,3000i Series Air Purifier for XL Rooms,,,,AU,LEGACY,src-0902dbde5700,,,https://www.philips.com.au/c-p/AC3033_73/3000i-series,,,src-0902dbde5700,launch_date,HIGH
philips-air-ac3220-10,philips,philips-air-climate,philips-air-pureprotect-3200,AC3220/10,PureProtect 3200 Series Smart Air Purifier,,Silver/Arctic White,,UK,CURRENT,src-2bcfed181e45,,,https://www.home-appliances.philips/gb/en/p/AC3220_10,,,src-2bcfed181e45,launch_date,HIGH
philips-air-ac3420-10,philips,philips-air-climate,philips-air-pureprotect-water-3400,AC3420/10,PureProtect Water 3400 Series Smart 2-in-1 Air Purifier and Humidifier,,Arctic White,,UK,CURRENT,src-1b5dbd9d9a5b,,,https://www.home-appliances.philips/gb/en/p/AC3420_10,,,src-1b5dbd9d9a5b,launch_date,HIGH
philips-air-ac4220-12,philips,philips-air-climate,philips-air-pureprotect-pro-4200,AC4220/12,PureProtect Pro 4200 Series Smart Air Purifier,,Supernova Silver,,AU,UNKNOWN,src-ed67ff134930,,,https://www.philips.com.au/c-p/AC4220_12/smart-air-purifier,,,src-ed67ff134930,launch_date,HIGH
philips-air-amf220-15,philips,philips-air-climate,philips-air-2000-3in1,AMF220/15,"2000 Series 3-in-1 Purifier, Fan and Heater",,,,ZA,LEGACY,src-4b97a4f1b2b7,,,https://www.philips.co.za/c-p/AMF220_15/2000-series-3-in-1-purifier-fan-and-heater,,,src-4b97a4f1b2b7,launch_date,HIGH
philips-air-amf765-30,philips,philips-air-climate,philips-air-performer-7000,AMF765/30,Air Performer 7000 series 2-in-1 Air Purifier and Fan,,White/Grey,,UK,CURRENT,src-decc9efab772,,,https://www.home-appliances.philips/gb/en/p/AMF765_30,,,src-decc9efab772,launch_date,HIGH
philips-air-amf870-35,philips,philips-air-climate,philips-air-performer-8000,AMF870/35,"Air Performer 8000 series 3-in-1 Air Purifier, Fan and Heater",,,,UK,CURRENT,src-82864615a92a,,,https://www.home-appliances.philips/gb/en/p/AMF870_35,,,src-82864615a92a,launch_date,HIGH
philips-air-ac5659-40,philips,philips-air-climate,philips-air-5000i,AC5659/40,Series 5000i Air Purifier,,,,US,LEGACY,src-da1f08f32336,,,https://www.usa.philips.com/c-p/AC5659_40/series-5000i-air-purifier,,,src-da1f08f32336,launch_date,HIGH
philips-cf-bar305-00,philips,philips-coffee,philips-cf-baristina,BAR305/00,Philips Baristina,,,,US,CURRENT,src-9c34250cbd2f,,,https://www.usa.philips.com/c-p/BAR305_00/baristina-espresso-machine,,,src-9c34250cbd2f,launch_date,HIGH
philips-cf-psa3218-01,philips,philips-coffee,philips-cf-barista-brew,PSA3218/01,Philips Barista Brew (single bean),,,,US,CURRENT,src-272587afd087,,,https://www.usa.philips.com/c-p/PSA3218_01/philips-barista-brew-semi-automatic-espresso-machine,,,src-272587afd087,launch_date,HIGH
philips-cf-ep3347-90,philips,philips-coffee,philips-cf-series-3300,EP3347/90,Philips Series 3300,,,,US,CURRENT,src-a28d98669ed9,,,https://www.usa.philips.com/c-p/EP3347_90/series-3300-fully-automatic-espresso-machine/overview,,,src-a28d98669ed9,launch_date,HIGH
philips-cf-ep8757-20,philips,philips-coffee,philips-cf-cafe-aromis-8000,EP8757/20,Philips Cafe Aromis 8000,,,,US,CURRENT,src-cb4997ea6277,,,https://www.usa.philips.com/c-p/EP8757_20/philips-cafe-aromis-8000-series,,,src-cb4997ea6277,launch_date,HIGH
lor-barista-cf-lm8018,lor-barista,lor-barista-coffee,lor-barista-cf-family,LM8018/90R1,Philips L'OR Barista,,,,Global,CURRENT,src-f8631c28b2ba,,,https://www.philips.com/c-p/LM8018_90R1/lor-barista-capsule-coffee-machine,,,src-f8631c28b2ba,launch_date,HIGH
senseo-cf-original-nl,senseo,senseo-coffee,senseo-cf-original,SENSEO-ORIGINAL-NL,Senseo Original,,,,NL,CURRENT,src-cc15b0eeed35,,,https://www.senseo.nl/koffiemachines/senseo-original/,,,src-cc15b0eeed35,launch_date,HIGH
saeco-cf-xelsis-suprema-sm8889,saeco,saeco-coffee,saeco-cf-xelsis-suprema,SM8889/00,Saeco Xelsis Suprema,,,,EU,CURRENT,src-6dccc892209d,,,https://saeco.com/xelsis/xelsis-suprema/,,,src-6dccc892209d,launch_date,HIGH
saeco-cf-xelsis-deluxe-sm8782,saeco,saeco-coffee,saeco-cf-xelsis-deluxe,SM8782/30,Saeco Xelsis Deluxe,,,,EU,CURRENT,src-25fe3f765665,,,https://saeco.com/xelsis/xelsis-deluxe/,,,src-25fe3f765665,launch_date,HIGH
saeco-cf-granaroma-sm6480,saeco,saeco-coffee,saeco-cf-granaroma,SM6480/00,Saeco GranAroma,,,,EU,CURRENT,src-08e312e7fd77,,,https://saeco.com/granaroma/granaroma/,,,src-08e312e7fd77,launch_date,HIGH
gaggia-cf-classicup,gaggia,gaggia-coffee,gaggia-cf-classic,UNVERIFIED-gaggia-cf-classicup,Gaggia Classic UP,,,,IT/EU,CURRENT,src-e3c4ed0a0732,,,https://www.gaggia.com/manual-machines/classic-up/,,,src-e3c4ed0a0732,exact_sku_code,HIGH
philips-hs-hsp5500-02,philips,philips-home-safety,philips-hs-5000series,HSP5500/02,Home Safety Indoor 360deg Camera with Privacy Shutter,,,,India,CURRENT,src-7b3d5a00a7fe,,,https://www.philips.co.in/c-p/HSP5500_02/home-safety-indoor-360degree-camera-with-privacy-shutter,,,src-7b3d5a00a7fe,launch_date,HIGH
philips-hs-hsp5300-01,philips,philips-home-safety,philips-hs-5000series,HSP5300/01,Wireless Video Doorbell,,,,Singapore,CURRENT,src-ed5516a8cc7d,,,https://www.home-appliances.philips/sg/en/p/HSP5300_01,,,src-ed5516a8cc7d,launch_date,HIGH
philips-pet-paw5320-02,philips,philips-pet-care,philips-pet-series,PAW5320/02,Pet Series Smart Feeder with Camera (5000 series),,,,UK,CURRENT,src-68f8556e2e5e,,,https://www.home-appliances.philips/gb/en/p/PAW5320_02,,,src-68f8556e2e5e,launch_date,HIGH
philips-pet-paw3210-02,philips,philips-pet-care,philips-pet-series,PAW3210/02,Pet Series Water Fountain (3000 series),,,,UK,CURRENT,src-f5cde5d08b2c,,,https://www.home-appliances.philips/gb/en/p/PAW3210_02,,,src-f5cde5d08b2c,launch_date,HIGH
philips-garden-rsl3000-10,philips,philips-garden-care,philips-gardencare-3000,RSL3000/10,GardenCare 3000 Series robot lawn mower,,,,France,CURRENT,src-a1978fb897fd,,,https://www.home-appliances.philips/fr/fr/p/RSL3000_10,,,src-a1978fb897fd,launch_date,HIGH
walita-af-na150-00,philips-walita,walita-kitchen,walita-af-1000,NA150/00,Airfryer Serie 1000 Duplo Cesto 7.1L,,,,Brazil,CURRENT,src-88f82d5bdc10,,,https://www.walita.com.br/fritadeira-airfryer-serie-1000-duplo-cesto-7-1l-philips-walita-na150-na150-00/p,,,src-88f82d5bdc10,launch_date,HIGH
walita-af-ri9270-90,philips-walita,walita-kitchen,walita-af-3000,RI9270/90,Airfryer Essential XL Digital Serie 3000,,Preta,,Brazil,CURRENT,src-0e53081714c4,,,https://www.walita.com.br/fritadeira-airfryer-essential-xl-digital-philips-walita-preta-2000w---ri9270-ri9270-90-preto/p,,,src-0e53081714c4,launch_date,HIGH
walita-af-ai551-09,philips-walita,walita-kitchen,walita-af-5000,AI551/09,Airfryer Forno Serie 5000 12L,,,,Brazil,CURRENT,src-a26f0d5ea2f3,,,https://www.walita.com.br/airfryer-forno-serie-5000-philips-walita-ai551-09/p,,,src-a26f0d5ea2f3,launch_date,HIGH
walita-cf-ep4441-53,philips-walita,walita-kitchen,walita-cf-4400,EP4441/53,Cafeteira Espresso Superautomatica LatteGo Serie 4400,,,,Brazil,CURRENT,src-8251eed2d558,,,https://www.walita.com.br/compre-cafeteira-superautomatica-lattego-serie-4400-ganhe-fritadeira-airfryer-serie-3000--/p,,,src-8251eed2d558,launch_date,HIGH
walita-cf-ep5441-55,philips-walita,walita-kitchen,walita-cf-5400,EP5441/55,Cafeteira Espresso Superautomatica LatteGo Elite Serie 5400,,Preta,,Brazil,CURRENT,src-7c4f62d129eb,,,https://www.walita.com.br/cafeteira-espresso-automatica-serie-5400-philips-walita-preta-1400w---ep5441-ep5441-55-preto/p,,,src-7c4f62d129eb,launch_date,HIGH
walita-fp-hr7304-90,philips-walita,walita-kitchen,walita-fp-powerchop-1000,HR7304/90,Multiprocessador PowerChop 1000,,Preto,,Brazil,CURRENT,src-bde2003cdb70,,,https://www.walita.com.br/multiprocessador-powerchop-1000-philips-walita-preto-1000w---6-acessorios-inclusos---hr7304/p,,,src-bde2003cdb70,launch_date,HIGH
walita-vac-xc2011-01,philips-walita,walita-vacuums,walita-vac-2000,XC2011/01,Aspirador Vertical Serie 2000,,,,Brazil,CURRENT,src-76b7751a8513,,,https://www.walita.com.br/aspirador-de-po-vertical-serie-2000-philips-21-6v-xc2011-xc2011-01/p,,,src-76b7751a8513,launch_date,HIGH
walita-hum-hu1510-04,philips-walita,walita-climate,walita-hum-1000,HU1510/04,Umidificador Ultrassonico Serie 1000,,,,Brazil,CURRENT,src-90b2f810c403,,,https://www.walita.com.br/umidificador-de-ar-serie-1000-philips-bivolt-hu1510-04/p,,,src-90b2f810c403,launch_date,HIGH
philips-air-ac1715-10-br,philips,philips-air-climate,philips-air-1000i,AC1715/10,Purificador de ar Serie 1000i (BR),BR,,,Brazil,CURRENT,src-cdb3bb38ff1c,,,https://www.philips.com.br/c-p/AC1715_10/purificador-de-ar-serie-1000i,,,src-cdb3bb38ff1c,launch_date,HIGH
philips-af-na110-00,philips,philips-airfryer,philips-af-1000,NA110/00,1000 Series Airfryer 3.4Qt,,,,US,CURRENT,src-d2f170e3f433,,,https://www.usa.philips.com/c-p/NA110_00/1000-series-airfryer-1000-series-32l,,,src-d2f170e3f433,launch_date,HIGH
philips-af-na220-00,philips,philips-airfryer,philips-af-2000,NA220/00,2000 Series Airfryer 4.2L,,,,US,CURRENT,src-f48906b77102,,,https://www.usa.philips.com/c-p/NA220_00/2000-series-airfryer-2000-series-44qt,,,src-f48906b77102,launch_date,HIGH
philips-af-na352-00,philips,philips-airfryer,philips-af-3000,NA352/00,3000 Series Dual Basket 6L+3L,,,,UK,CURRENT,src-e1deb3126e6a,,,https://www.home-appliances.philips/gb/en/p/NA352_00,,,src-e1deb3126e6a,launch_date,HIGH
philips-af-na555-00,philips,philips-airfryer,philips-af-5000,NA555/00,5000 Series Dual Basket w/ Steam 9.6qt,,,,US,CURRENT,src-d803554e7073,,,https://www.usa.philips.com/c-p/NA555_00/5000-series,,,src-d803554e7073,launch_date,HIGH
philips-af-hd9880-90,philips,philips-airfryer,philips-af-7000,HD9880/90,7000 Series Airfryer Combi XXL,,,,Singapore,CURRENT,src-64457916d529,,,https://www.home-appliances.philips/sg/en/p/HD9880_90,,,src-64457916d529,launch_date,HIGH
philips-ck-hd3095-87,philips,philips-cooking,philips-ck-multicooker-avance,HD3095/87,Avance Collection Multicooker 4L,,,,US,CURRENT,src-7b3bcc413717,,,https://www.usa.philips.com/c-p/HD3095_87/avance-collection-multicooker,,,src-7b3bcc413717,launch_date,HIGH
philips-bl-hr2767-00,philips,philips-blending,philips-bl-series-5000,HR2767/00,5000 Series Blender,,,,Bahrain,CURRENT,src-9b8a38fd4675,,,https://www.philips.com.bh/c-p/HR2767_00/5000-series-blender,,,src-9b8a38fd4675,launch_date,HIGH
philips-jc-hr1855-70r1,philips,philips-juicing,philips-jc-viva,HR1855/70R1,Viva Collection Juicer 800W (refurb channel),,,,UK,CURRENT,src-4433cf2b9a84,,,https://www.home-appliances.philips/gb/en/p/HR1855_70R1,,,src-4433cf2b9a84,launch_date,HIGH
philips-jc-hr1897-34,philips,philips-juicing,philips-jc-avance-masticating,HR1897/34,Avance Collection Masticating Juicer,,,,US,CURRENT,src-c8f362fb95b1,,,https://www.usa.philips.com/c-p/HR1897_34/avance-collection-masticating-juicer,,,src-c8f362fb95b1,launch_date,HIGH
philips-bf-hd2383-22,philips,philips-breakfast,philips-bf-sandwich-maker,HD2383/22,Sandwich Maker 700W,,,,Global,CURRENT,src-8518e34a6689,,,https://www.philips.com/c-p/HD2383_22/sandwich-maker,,,src-8518e34a6689,launch_date,HIGH
philips-bf-hd9365-10,philips,philips-breakfast,philips-bf-kettle-eco5000,HD9365/10,Eco Conscious Edition 5000 Series Kettle 1.7L,,,,Global,CURRENT,src-3e23dbede5f4,,,https://www.philips.com/c-p/HD9365_10/eco-conscious-edition-5000-series-kettle,,,src-3e23dbede5f4,launch_date,HIGH
philips-fc-xu7100-01,philips,philips-floor-care,philips-fc-homerun,XU7100/01,HomeRun 7000 Series Aqua,,,,UK,CURRENT,src-155e5f1784c5,,,https://www.home-appliances.philips/gb/en/p/XU7100_01,,,src-155e5f1784c5,launch_date,HIGH
philips-fc-xw9383-01,philips,philips-floor-care,philips-fc-aquatrio,XW9383/01,AquaTrio Cordless Wet & Dry Vacuum 9000 Series,,,,UK,CURRENT,src-2a95957d20e0,,,https://www.home-appliances.philips/gb/en/p/XW9383_01,,,src-2a95957d20e0,launch_date,HIGH
philips-fc-fc6904-01,philips,philips-floor-care,philips-fc-speedpro,FC6904/01,SpeedPro Max Aqua,,,,UK,CURRENT,src-68f8844f0b23,,,https://www.home-appliances.philips/gb/en/p/FC6904_01,,,src-68f8844f0b23,launch_date,HIGH
philips-fc-fc9729-09,philips,philips-floor-care,philips-fc-powerpro,FC9729/09,PowerPro Expert Bagless (7000 Series),,,,UK,CURRENT,src-216485c3db3b,,,https://www.home-appliances.philips/gb/en/p/FC9729_09,,,src-216485c3db3b,launch_date,HIGH
philips-fc-fc8577-09,philips,philips-floor-care,philips-fc-performer,FC8577/09,Performer Active Bagged,,,,UK,CURRENT,src-c08071518b00,,,https://www.home-appliances.philips/gb/en/p/FC8577_09,,,src-c08071518b00,launch_date,HIGH
philips-gc-gc215-20,philips,philips-garment-care,philips-gc-oneturn,GC215/20,OneTurn Hybrid Iron and Steamer,,,,UK,CURRENT,src-0ab0fc980c3d,,,https://www.philips.co.uk/c-p/GC215_20/philips-oneturn-handheld-steamers,,,src-0ab0fc980c3d,launch_date,HIGH
philips-gc-gc9650-80,philips,philips-garment-care,philips-gc-perfectcare,GC9650/80,PerfectCare Elite,,,,UK,CURRENT,src-36ebda3b8cc1,,,https://www.home-appliances.philips/gb/en/p/GC9650_80,,,src-36ebda3b8cc1,launch_date,HIGH
philips-gc-gc9682-86,philips,philips-garment-care,philips-gc-perfectcare,GC9682/86,PerfectCare Elite Plus,,,,UK,CURRENT,src-cf87015e6a61,,,https://www.home-appliances.philips/gb/en/p/GC9682_86,,,src-cf87015e6a61,launch_date,HIGH
philips-gc-gc628-86,philips,philips-garment-care,philips-gc-all-in-one,GC628/86,All-in-One 8000 Series Garment Steamer,,,,Global,CURRENT,src-d906bbdadc0a,,,https://www.philips.com/c-p/GC628_86/8000-series-garment-steamer,,,src-d906bbdadc0a,launch_date,HIGH
